City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Lamar,US,33.6668,-95.5836,48.36,32,0,13.8,clear sky
289,Fort Morgan,US,40.2503,-103.8,41.65,19,0,18.41,clear sky
290,Bernalillo,US,35.05,-106.6673,50.32,36,75,13.8,broken clouds
291,Republic,US,37.12,-93.4802,31.12,43,40,18.41,scattered clouds
292,North Las Vegas,US,36.1989,-115.1175,66.18,13,0,10.36,clear sky
293,Fort Carson,US,38.7375,-104.7889,43.45,27,100,12.66,overcast clouds
294,Kingsville,US,27.5159,-97.8561,50.18,59,100,14.97,overcast clouds
295,Okmulgee,US,35.6234,-95.9605,43.09,21,0,14.97,clear sky
296,Price,US,39.5994,-110.8107,44.11,17,0,9.22,clear sky
297,Lewisville,US,33.0462,-96.9942,53.94,27,0,17.27,clear sky
298,Casa Grande,US,32.8795,-111.7573,73.4,27,0,13.8,clear sky
299,Guadalupe Y Calvo,MX,26.1,-106.9667,44.76,85,82,5.23,light rain
300,Nazareno,MX,25.3833,-103.4167,61.5,49,95,12.17,light rain
301,Topeka,US,39.0483,-95.678,31.78,50,100,21.85,overcast clouds
302,San Antonio,US,29.4241,-98.4936,49.55,63,40,9.22,light rain
303,Guerrero,MX,17.6667,-100.0,77.29,35,37,6.2,scattered clouds
304,Parsons,US,37.3403,-95.2611,36.86,33,46,13.56,scattered clouds
305,Highland Springs,US,37.546,-77.3278,51.39,37,0,3.0,clear sky
306,Puerto Palomas,MX,31.7667,-107.6167,51.76,34,83,18.61,broken clouds
307,La Marque,US,29.3686,-94.9713,55.36,47,100,16.11,overcast clouds
308,Bustamante,MX,26.5333,-100.5,48.45,62,100,6.73,overcast clouds
309,Sycamore,US,41.9889,-88.6868,21.87,64,100,11.5,overcast clouds
310,Albertville,US,34.2676,-86.2089,45.64,43,0,11.5,clear sky
311,Salina,US,38.8403,-97.6114,35.73,34,40,19.57,scattered clouds
312,Ottumwa,US,41.02,-92.4113,25.95,64,100,20.71,overcast clouds
313,Christiansburg,US,37.1298,-80.4089,41.47,39,40,5.75,scattered clouds
314,Plainview,US,40.7765,-73.4673,49.86,43,75,13.8,broken clouds
315,Altar,MX,30.7,-111.8167,73.83,15,19,6.55,few clouds
316,Staunton,US,38.1496,-79.0717,42.89,35,0,11.5,clear sky
317,Fostoria,US,41.157,-83.4169,22.95,64,100,15.99,overcast clouds
318,Wilmington Island,US,32.0036,-80.9737,59.09,47,75,9.22,broken clouds
319,Potam,MX,27.6,-110.3833,70.36,38,89,11.36,overcast clouds
320,Muskegon,US,43.3,-86.1334,24.66,74,100,16.11,light snow
321,Taos,US,36.4072,-105.5731,34.2,50,0,3.44,snow
322,San Felipe,VE,10.3399,-68.7425,68.9,90,22,4.45,few clouds
323,Pineville,US,31.3224,-92.4343,51.73,53,0,4.61,clear sky
324,Madison,US,34.7334,-86.5667,47.62,36,20,11.99,few clouds
325,Dunn,US,44.95,-91.8835,27.16,56,0,13.8,clear sky
326,North Platte,US,41.1239,-100.7654,33.69,32,0,11.01,clear sky
327,Palestine,PS,31.9216,35.2033,49.46,92,56,16.69,broken clouds
328,Altamont,US,42.2068,-121.7372,53.44,35,0,12.66,clear sky
329,Fort Smith,US,35.3859,-94.3986,44.64,32,0,20.71,clear sky
330,Bellevue,US,47.6104,-122.2007,69.15,32,0,9.22,clear sky
331,Cutlerville,US,42.8409,-85.6636,23.04,85,100,14.97,light snow
332,Truth Or Consequences,US,33.1284,-107.2528,48.9,60,100,6.91,overcast clouds
333,San Buenaventura,MX,27.0833,-101.5333,52.72,50,75,17.27,broken clouds
334,Midland,US,31.9974,-102.0779,53.8,24,0,14.97,clear sky
335,Grand Junction,US,39.0639,-108.5507,49.08,20,0,3.44,clear sky
336,Minas De Barroteran,MX,27.6333,-101.2833,41.99,79,100,14.9,overcast clouds
337,Cedartown,US,34.0537,-85.255,48.38,48,61,5.75,broken clouds
