City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
515,Aliquippa,US,33.93,40.6367,-80.2401,overcast clouds,
516,Wharton,US,52.99,29.3116,-96.1027,overcast clouds,
517,Vicksburg,US,53.28,32.3526,-90.8779,clear sky,
518,Conway,US,46.38,35.0887,-92.4421,clear sky,
519,Rome,US,48.51,34.257,-85.1647,broken clouds,
521,Hannibal,US,27.52,39.7084,-91.3585,overcast clouds,
522,West Columbia,US,57.02,33.9935,-81.074,broken clouds,
523,Lynn Haven,US,52.05,30.2455,-85.6483,overcast clouds,
524,Exeter,GB,45.99,50.7236,-3.5275,broken clouds,
525,Weatherford,US,53.26,32.7593,-97.7972,broken clouds,
526,Orangeburg,US,57.16,33.4918,-80.8557,clear sky,
527,Shreveport,US,55.62,32.5251,-93.7502,clear sky,
528,Grand Island,US,29.19,40.925,-98.342,clear sky,
529,Beckley,US,35.67,37.7782,-81.1882,overcast clouds,
532,Salisbury,GB,49.64,51.0693,-1.7957,drizzle,
533,Laurel,US,50.4,39.0993,-76.8483,clear sky,
534,Deming,US,48.09,32.2687,-107.7586,broken clouds,
